    4  sudo systemctl start docker
    5  sudo systemctl enable  docker
    7  mkdir node
    9  vim docker-compose.yml
   14  mkdir test
   15  cd test
   16  touch docker-compose.yml
   17  vim docker-compose.yml
   18  mkdir node
   19  cd node
   20  vim Dockerfile
   21  vim ../docker-compose.yml
   23  mkdir db
   24  vim db/Dockerfile
   33  git clone https://github.com/yaitalla/matcha.git app
   37  vim Dockerfile
   40  docker-compose up -d
   41  vim docker-compose.yml
   43  sudo docker-compose up -d
   44  sudo usermod -aG docker $USER
   45  docker-compose up -d
   46  sudo docker-compose up -d
   47  docker network create web
   48  exit
   49  cd test
   52  docker-compose up -d
   53  docker network create web
   54  docker-compose up -d
   56  vim docker-compose.yml
   57  vim node/Dockerfile
   65  docker-compose up -d --build
   69  vim docker-compose.yml
   70  docker-compose up -d --build
   84  docker-compose up -d --build
   86  curl 127.0.0.1:8080
   87  docker ps
   90  docker-compose up -d --build
   91  curl 127.0.0.1:8080
   92  docker ps
   94  docker system prune
   95  docker-compose up -d --build
   96  docker network create web
   97  docker-compose up -d --build
   98  docker ps
  101  docker logs node
  102  docker logs node -f
  104  curl 127.0.0.1:8080
  105  curl 127.0.0.1
  107  docker-compose up -d 
  108  docker ps
  109  curl 127.0.0.1
  110  curl 127.0.0.1:8080
  112  docker-compose up -d 
  114  docker-compose up -d 
  116  docker-compose up -d 
  117  docker logs node
  119  docker logs node -f
  120  curl 127.0.0.1:8080
  121  curl 127.0.0.1:80
  122  curl 127.0.0.1:8080/signup
  123  curl 127.0.0.1:80/signup
  125  docker-compose up -d 
  126  cd node
  127  mv app app_old
  128  git clone https://github.com/heroku/node-js-sample.git app
  130  docker-compose up -d  --build
  131  vim ../docker-compose.yml
  132  docker ps
  133  cd ..
  134  ls
  135  cd mo
  136  cd node/app
  137  ls
  138  vim package.json
  139  vim index.js
  140  curl 127.0.0.1:8080
  141  cat * | grep port
  142  docker logs node
  143  docker logs node -f
  144  vim index.js
  145  curl 127.0.0.1:8080
  146  curl 127.0.0.1:80
  147  curl 127.0.0.1:8080
  148  curl 127.0.0.1:8080/
  149  docker inspect node | grep IP
  150  curl 172.20.0.3:8080/
  151  cd test
  152  docker ps
  153  docker-compose up -d
  154  curl 172.20.0.3:8080/
